gene,fc_lineal,mwu_p,bonf_x12,cohen_d,grupo,n_probes
COL9A1,1.0183004426288704,0.5672447169125849,1.0,0.17943470595322028,HIPOTESIS,1
PTN,1.0322601319688152,0.11851100377366186,1.0,0.2912796588248345,HIPOTESIS,1
ST3GAL1,1.0284634725268544,0.2408619739454011,1.0,0.20142765093061465,HIPOTESIS,1
GAPDH,0.9735409116036747,0.5371908600900123,1.0,-0.17482395115964874,NEG_CTRL,1
ACTB,1.0023605995639153,0.29266803341309233,1.0,0.03855097887661722,NEG_CTRL,1
B2M,1.027998577829619,0.4184373488977736,1.0,0.17107674769822076,NEG_CTRL,1
RPLP0,1.0002215874913267,0.7654615301620673,1.0,0.0009106706066316397,NEG_CTRL,2
HPRT1,0.9525493210895635,0.15798023131009176,1.0,-0.24672831603309,NEG_CTRL,1
PPIA,0.9676011228861293,0.16972943624398085,1.0,-0.22377559425680035,NEG_CTRL,5
TBP,0.980797552203342,0.34517569431444917,1.0,-0.10831219994656265,NEG_CTRL,1
YWHAZ,0.9893284790327577,0.9918486704461515,1.0,-0.1174468584617189,NEG_CTRL,1
