scenario,d,n_per_group,power
"Optimista (r=0.8, d_protein=0.70)",0.7,20,0.5456
"Optimista (r=0.8, d_protein=0.70)",0.7,30,0.727
"Optimista (r=0.8, d_protein=0.70)",0.7,50,0.9252
"Optimista (r=0.8, d_protein=0.70)",0.7,75,0.9858
"Optimista (r=0.8, d_protein=0.70)",0.7,100,0.997
"Optimista (r=0.8, d_protein=0.70)",0.7,150,1.0
"Optimista (r=0.8, d_protein=0.70)",0.7,200,1.0
"Moderado (r=0.6, d_protein=0.53)",0.53,20,0.352
"Moderado (r=0.6, d_protein=0.53)",0.53,30,0.4994
"Moderado (r=0.6, d_protein=0.53)",0.53,50,0.7222
"Moderado (r=0.6, d_protein=0.53)",0.53,75,0.8818
"Moderado (r=0.6, d_protein=0.53)",0.53,100,0.9564
"Moderado (r=0.6, d_protein=0.53)",0.53,150,0.993
"Moderado (r=0.6, d_protein=0.53)",0.53,200,0.9994
"Conservador (r=0.4, d_protein=0.35)",0.35,20,0.1734
"Conservador (r=0.4, d_protein=0.35)",0.35,30,0.256
"Conservador (r=0.4, d_protein=0.35)",0.35,50,0.3884
"Conservador (r=0.4, d_protein=0.35)",0.35,75,0.5502
"Conservador (r=0.4, d_protein=0.35)",0.35,100,0.6654
"Conservador (r=0.4, d_protein=0.35)",0.35,150,0.8374
"Conservador (r=0.4, d_protein=0.35)",0.35,200,0.9242
"Pesimista (r=0.3, d_protein=0.26)",0.26,20,0.117
"Pesimista (r=0.3, d_protein=0.26)",0.26,30,0.1622
"Pesimista (r=0.3, d_protein=0.26)",0.26,50,0.2354
"Pesimista (r=0.3, d_protein=0.26)",0.26,75,0.3426
"Pesimista (r=0.3, d_protein=0.26)",0.26,100,0.4346
"Pesimista (r=0.3, d_protein=0.26)",0.26,150,0.5842
"Pesimista (r=0.3, d_protein=0.26)",0.26,200,0.7154
