Gene,FM_mean,HC_mean,FC,d_cohen,p_MW,p_Welch,p_female_only,p_male_only,p_sex_adjusted,p_MW_bonf18,p_fem_bonf18,p_adj_bonf18,Robust_5of5,p_MW_BH18
CA14,1.3898,0.6063,2.292,0.411,0.00032673,0.00524258,0.13451281,0.71255237,0.16172714,0.00588114,1.0,1.0,2,0.00065346
COL9A1,3.8913,1.6774,2.32,0.88,9e-08,1e-08,7.085e-05,0.29995754,4.7e-06,1.62e-06,0.0012753,8.46e-05,4,5.4e-07
CRELD1,2.5816,2.0535,1.257,0.175,0.05398328,0.23026567,0.47581462,0.63152163,0.5450058,0.9716990400000001,1.0,1.0,0,0.058890850909090915
DPEP1,0.951,0.8843,1.075,0.06,0.04016118,0.68002218,0.21522597,0.3592411,0.41238299,0.72290124,1.0,1.0,1,0.048193415999999996
LGALS3,27.3248,51.962,0.526,-0.401,4e-08,0.0064717,0.00020902,0.65123214,0.3097747,7.2e-07,0.00376236,1.0,3,4.800000000000001e-07
BPIFB2,1.1365,0.5234,2.171,0.597,3.21e-06,6.004e-05,0.00027308,0.16254018,0.00350785,5.7780000000000006e-05,0.00491544,0.0631413,4,7.704e-06
FAM171B,0.7995,0.5253,1.522,0.425,0.00058614,0.00385976,0.10673524,0.54411975,0.19886323,0.010550519999999999,1.0,1.0,2,0.0010048114285714285
IFI30,292.8438,540.8562,0.541,-0.345,3.19e-06,0.01849806,0.00408049,0.85894553,0.93974629,5.742e-05,0.07344882,1.0,3,7.704e-06
LRRC37A2,0.5003,0.646,0.774,-0.154,0.58832918,0.2926155,0.68676615,0.04769022,0.17244199,1.0,1.0,1.0,1,0.58832918
PTN,0.9218,0.3167,2.91,0.609,1.35e-06,4.906e-05,5.284e-05,0.60164357,0.00108576,2.43e-05,0.0009511200000000001,0.01954368,4,5.4e-06
SFTPD,1.2448,0.784,1.588,0.292,0.00380503,0.0459573,0.03934854,0.21975591,0.27026002,0.06849054,0.70827372,1.0,3,0.0057075450000000005
ST3GAL1,19.7191,25.7781,0.765,-0.229,0.01313111,0.11838394,0.00191571,0.96729961,0.03873606,0.23635998,0.03448278,0.6972490800000001,3,0.017508146666666665
