Gene,FM_mean,HC_mean,FC,d_cohen,p_MW,p_Welch,p_female_only,p_male_only,p_sex_adjusted,Robust_5of5
TRIM11,14.3237,31.7199,0.452,-0.883,0.0,1e-08,9.9e-07,0.00918821,3.4e-07,5
TRPA1,2.1001,0.7796,2.694,0.849,2.4e-07,3e-08,1.98e-06,0.91015866,4.8e-07,4
MDGA2,2.5822,1.0691,2.415,0.896,1e-08,1e-08,8.97e-06,0.04769022,2.16e-06,5
ANP32B,16.2872,34.9402,0.466,-0.859,0.0,3e-08,6.6e-07,0.16766616,2.35e-06,4
CLTB,22.1534,56.5739,0.392,-1.035,0.0,0.0,6.6e-07,0.15044329,2.52e-06,4
PHF23,19.4271,34.8835,0.557,-0.731,4e-08,1.34e-06,3.79e-06,0.26208651,2.73e-06,4
SLCO1C1,1.2083,0.4423,2.732,0.854,3.4e-07,3e-08,6.678e-05,0.11723246,2.87e-06,4
DEDD2,73.2328,168.7997,0.434,-0.879,0.0,1e-08,2e-07,0.1960065,3.01e-06,4
PTMS,12.2878,34.5678,0.355,-0.884,0.0,2e-08,2.149e-05,0.01799716,3.63e-06,5
FHL5,0.803,0.2671,3.006,0.663,2.5e-07,1.139e-05,1.957e-05,0.33041483,4.13e-06,4
COL9A1,3.8913,1.6774,2.32,0.88,9e-08,1e-08,7.085e-05,0.29995754,4.7e-06,4
MRFAP1,26.4424,65.9431,0.401,-0.834,0.0,7e-08,9e-07,0.02766445,5.3e-06,5
GPC6,0.4213,0.1131,3.724,0.852,0.0,3e-08,1.231e-05,0.04366621,8.22e-06,5
TMED9,18.2742,39.063,0.468,-0.88,0.0,1e-08,6.8e-07,0.1588897,8.37e-06,4
RABL3,2.1582,0.6189,3.487,0.693,2e-08,5.19e-06,2.35e-06,0.26208651,9.36e-06,4
LUC7L3,26.4224,42.5674,0.621,-0.517,3.67e-06,0.0005035,7.82e-06,0.25018521,1.286e-05,4
