,B_cells,T_cells_CD4,T_cells_CD8,T_cells_Treg,NK_cells,Monocytes,Dendritic_cells,Neutrophils,Eosinophils,Basophils,Mast_cells,Platelets
Sample_268,0.007073734162438612,0.034715641899154076,0.3596784398270502,0.0007373046677848883,0.3804465007838413,0.1487446659360581,0.008264335623395772,0.044192504925197044,0.0020767297624722293,0.0007878143960146186,0.00030842431256337694,0.012973903704029722
Sample_270,0.007561107866058836,0.036129165737583666,0.10100700817939974,0.0015498779531377463,0.09822566446029737,0.5396864423368031,0.035247775783784345,0.13657758593629665,5.4157654525125305e-05,0.001021196874804375,0.0007324267789211614,0.042207590438387774
Sample_272,0.02834114654043724,0.07986059067337163,0.07118424486513585,0.002637363338905552,0.0717837288121193,0.4934922895142176,0.028102706380458694,0.17616498123376956,4.990444539198194e-06,0.002275781429114029,0.0014091406144577205,0.04474303615347364
Sample_274,0.008716895980046208,0.04449578597452956,0.07784148406503558,0.006239722877378426,0.08152562674939591,0.4824346283858667,0.0364213569207955,0.13663548831446198,9.087601642901776e-05,0.0004588188340138856,0.0008737002514054274,0.12426561563064172
Sample_278,0.019968128039016597,0.0953884286736765,0.12445178536438348,0.0026543639463722834,0.13342533067108117,0.4737380264877426,0.016980191212200818,0.10994879290727744,0.001550187986910131,0.002315428265010779,0.0021753935305254056,0.017403942915802727
Sample_282,0.011626414212729544,0.046315515168153965,0.16936835082375876,0.0021465745656407105,0.2453625126855119,0.3472706814343937,0.06747606021031546,0.06344346233317431,0.0011008575821889527,0.00184727904969501,0.001324882337671157,0.04271740959676644
Sample_284,0.029544426642785452,0.062247524892818235,0.11726997654741586,0.0021913372733879436,0.1677605449323328,0.3849316997979981,0.030258027698812844,0.14943449234388517,0.004191390825792532,0.002645923870296311,0.005328646625533804,0.044196008548940825
Sample_286,0.014347928285455842,0.03525170900981429,0.09003691953210298,0.0043282914637930246,0.11712881748456547,0.4427036378931665,0.03844470158750282,0.15363234017202235,0.00016291575670458064,0.0022563407477936407,0.002330032957046117,0.09937636511003242
Sample_288,0.006859480347146087,0.04555841346487793,0.08385744273067447,0.003734447640474799,0.11537311396983621,0.4702309385414962,0.10540014941212512,0.08707151822475181,0.000430390880752219,0.0006652790628694033,0.0006851888809494183,0.08013363684404624
Sample_290,0.026612794454391422,0.08257303059961309,0.2722413753568947,0.005985745211125485,0.38483798579247247,0.09796099059977713,0.04349226155070875,0.06822221764699651,7.103409104437043e-05,0.0015740669787042475,0.0006573492221893706,0.015771148496082656
Sample_292,0.09058819330945218,0.17927186106076073,0.18769905726010025,0.004581298371428787,0.26037152035125594,0.11799055260919034,0.03734537479146026,0.04493897851473468,0.00023316152760206575,0.002086198358233945,0.005791719042237329,0.06910208480354346
Sample_304,0.036078681938119736,0.09428029599805737,0.10845279954731524,0.0006580515411909138,0.11056735295996616,0.4329364916504804,0.04745889464014819,0.11776674507461493,0.0007195453032079599,0.004517097399715004,0.005156785506050484,0.04140725844113358
Sample_306,0.011354639184616702,0.052877668415198635,0.25835080176488434,0.0011094472198865171,0.37090781631306785,0.14591076324511465,0.06738978654364504,0.0526713352950723,7.429247699581833e-05,0.000980605404963611,0.0001538878110061722,0.03821895632554818
Sample_308,0.013935082804042613,0.09161101801623402,0.1262187873452133,0.0028752451443981013,0.16272020898434042,0.28011608430589063,0.08493210721015745,0.12660528851424016,2.1835043263207426e-05,0.0014001059231121059,0.0010659573694763228,0.10849827933963176
Sample_310,0.014580346547686827,0.07008155234535635,0.14633933465680535,0.004949889474826836,0.17584695195545413,0.41688360432007854,0.022225143096891577,0.07406606314856969,0.0015302934509674865,0.003069211602306901,0.0029818881561610162,0.06744572124489513
Sample_312,0.020068633710353265,0.055146098906779815,0.104736145197519,0.005169676126047745,0.1250890628168579,0.41242318114579773,0.023929385469667958,0.0641296089022597,0.0038820605797933038,0.0017231001560524151,0.0013792543908512994,0.18232379259801984
Sample_314,0.019791423396383064,0.03592123834010485,0.0842250718295166,0.0044450140493173486,0.10285830869101545,0.4451638517485031,0.0629511202127931,0.1125070915476606,3.585505156322695e-05,0.0008067867026571319,0.00031436129372044324,0.13097987713676507
Sample_316,0.016457341860153556,0.0797380637097211,0.07587600479212551,0.003868735275640536,0.0843355730823724,0.5431566871653571,0.030576984844749872,0.08770974880871918,0.00017237549903352317,0.001182068210298215,0.0007839145319211819,0.0761425022199079
Sample_318,0.014750546295576369,0.06376749434562377,0.17442715572026932,0.0024415307532319216,0.20125141200434687,0.3697964930553164,0.056401974926600595,0.07043613023207598,0.0011887150377765672,0.0037687041093649757,0.001963591309628427,0.03980625221018848
