cell_type,fm_mean,hc_mean,diff,p_value,q_value,significant
T_cells_Treg,0.008619987665469663,0.003344116557564453,0.00527587110790521,8.168017026280343e-09,7.030749095192947e-08,True
T_cells_CD4,0.10679015376360267,0.06379424209233141,0.04299591167127126,1.171791515865491e-08,7.030749095192947e-08,True
Monocytes,0.2678074541753744,0.3769684861982493,-0.10916103202287492,5.898557889124504e-08,2.3594231556498015e-07,True
B_cells,0.03336054587401338,0.023155618507109822,0.010204927366903559,1.4999045009700492e-05,4.4997135029101476e-05,True
Mast_cells,0.007596901961948228,0.0034673664657856734,0.004129535496162555,4.179856180810746e-05,0.00010031654833945791,True
Basophils,0.006738720490606286,0.003305698106888361,0.0034330223837179246,0.0002170075964870634,0.0004340151929741268,True
Eosinophils,0.005342948144089932,0.0019906412892735825,0.0033523068548163494,0.00028430671875634574,0.00048738294643944983,True
Neutrophils,0.09049997422492735,0.11560911508274761,-0.02510914085782026,0.0005983194396121089,0.0008974791594181634,True
T_cells_CD8,0.1515277351587603,0.12290126953995321,0.028626465618807093,0.0017060137740308118,0.0022746850320410823,True
NK_cells,0.1960006138701289,0.16347807969219666,0.032522534177932244,0.007253146315398728,0.008703775578478474,True
Dendritic_cells,0.06610014795263978,0.05556290710891693,0.010537240843722852,0.02469518643662827,0.02694020338541266,True
Platelets,0.05961481671843915,0.06642245935898297,-0.006807642640543822,0.13256219179786236,0.13256219179786236,False
