cell_type,fm_mean,hc_mean,diff,p_value,significant
Basophils,0.05644856387507929,0.06113760815250423,-0.0046890442774249405,1.3634315492521328e-06,True
Mast_cells,0.055703112240294256,0.058739900089045824,-0.003036787848751568,5.843877484653821e-06,True
Monocytes,0.1150706075674819,0.11366463192495961,0.0014059756425222891,0.0011927115091766396,True
T_cells_CD4,0.10637624365949895,0.10534257409799884,0.0010336695615001112,0.009237991238584365,True
Neutrophils,0.10056039339752953,0.09911228835596725,0.0014481050415622865,0.011963631313814522,True
T_cells_Treg,0.07244361391879006,0.072081375332362,0.00036223858642805973,0.06297462113196897,False
Platelets,0.08408832126020327,0.08255044259672917,0.0015378786634741015,0.09464460919854581,False
B_cells,0.0867205171199364,0.08545532066496132,0.0012651964549750816,0.1787970982650584,False
Eosinophils,0.06052193008559546,0.06006859753341272,0.0004533325521827447,0.23436888199190986,False
Dendritic_cells,0.09033465941966913,0.09070345313798309,-0.00036879371831395613,0.4423283219977079,False
T_cells_CD8,0.08784036820431948,0.08766490142178547,0.00017546678253400894,0.799986333777846,False
NK_cells,0.0838916692516023,0.08347890669229047,0.00041276255931183004,0.8508920722930482,False
