,B_cells,T_cells_CD4,T_cells_CD8,T_cells_Treg,NK_cells,Monocytes,Dendritic_cells,Neutrophils,Eosinophils,Basophils,Mast_cells,Platelets
Sample_268,0.008025098557862894,0.039384636366394395,0.34572022349872417,0.0006970555308638564,0.3739936754899981,0.16874971220034393,0.007813189183394504,0.04178005555476006,0.0015706895998799562,0.0,0.0,0.012265664017778066
Sample_270,0.008096825918211408,0.03868898192294975,0.09322218620011952,0.0013830746546814418,0.08964809790863407,0.5779241946322912,0.03145428659188993,0.12187862736136362,3.866321431519201e-05,0.0,0.0,0.03766506159554401
Sample_272,0.030345527164886484,0.08550859861032616,0.06522021971261807,0.002353238742189558,0.06599047745947989,0.5283937139151703,0.02507518643309745,0.15718663133781005,3.562256972985393e-06,0.0,0.0,0.03992284436744907
Sample_274,0.009420852595383571,0.04808916404891609,0.0714269583849999,0.005619690541065856,0.07620495714728892,0.5213949473913314,0.032802218784846314,0.12305821529966766,6.547663734072266e-05,0.0,0.0,0.11191751916915942
Sample_278,0.021387052484360895,0.10216667914280403,0.11260544761327644,0.0023691513513742096,0.12413888834864055,0.5074015960100925,0.015155662060569541,0.09813474586039514,0.0011068956746768915,0.0,0.0,0.015533881453809743
Sample_282,0.012805600397656904,0.05101297516181952,0.14554787872304303,0.001970238889395537,0.2459899429623491,0.3824919269951615,0.06193307237378782,0.05823174222201371,0.0008083399309139664,0.0,0.0,0.03920828234385895
Sample_284,0.03235032080863564,0.06815929867834968,0.10058587904446781,0.00199954418507706,0.16692879122122303,0.42148944464012883,0.02742074159580687,0.13635549116279724,0.003059637146642039,0.0,0.0013230238607381437,0.04032782765613355
Sample_286,0.015655690952900217,0.038464776993530105,0.07914104494620175,0.003935666539160965,0.11461451873833428,0.4830545010184973,0.03495733291338223,0.13969615161224663,0.00011850996592589271,0.0,0.0,0.09036180631982053
Sample_288,0.007423776964497967,0.04930628608920077,0.07194371164432525,0.003368052311719594,0.11287368925057152,0.5089145872385241,0.09505909603219517,0.0785287294065595,0.00031053138571812846,0.0,0.0,0.07227153967668802
Sample_290,0.030185858385429466,0.09365937922856345,0.24278573059947406,0.005657831786635288,0.39604248128512953,0.11111334417018778,0.041109651546292154,0.0644848415599953,5.371413905136904e-05,0.0,0.0,0.014907167299241603
Sample_292,0.10037364465197308,0.19863703448353395,0.16446001729073012,0.004230146685227347,0.26108717877581306,0.13073604149967158,0.034396078336325825,0.04149445322905723,0.00017223195402587486,0.0,0.0006076901770504312,0.06380548291659163
Sample_304,0.03903566545623394,0.10200744306588386,0.10018623680557855,0.000593320820749158,0.1029316696818843,0.4684196634691282,0.04279049368804877,0.10618235422437185,0.0005190124884053003,0.0,0.0,0.03733414029971597
Sample_306,0.01286817117175387,0.05992606874306315,0.22909365471071266,0.0010477770729803006,0.3821661995521106,0.16536013577456246,0.06364383273743307,0.04974352680885519,5.613026213115691e-05,0.0,0.0,0.036094503166397486
Sample_308,0.015441712602125084,0.10151579515439994,0.11295060342047933,0.0026550918166276796,0.1614880512803693,0.31040160506469144,0.07842897961656761,0.11691130619970633,1.6130532673864835e-05,0.0,0.0,0.1001907243123594
Sample_310,0.01586030969254444,0.07623379322955523,0.13094263593669506,0.00448702069356706,0.1694602347151602,0.45348051561295594,0.02014684923782673,0.06714007650651692,0.0011097554265227664,0.0,0.0,0.06113880894865575
Sample_312,0.02188877171007574,0.06014761079868821,0.09411042113961836,0.004698786099545252,0.12074902786293636,0.4498281741714378,0.021749730751797862,0.058288238476088286,0.00282276442007917,0.0,0.0,0.165716474569733
