Gene,Category,FM_mean,HC_mean,Log2FC_raw,p_Welch_FPKM,Log2FC_log,p_Welch_log2,p_MannWhitney,beta_case_sexadj,p_OLS_sexadj,Log2FC_femonly,p_femonly,q_Welch_FPKM,q_Welch_log2,q_MannWhitney,q_OLS_sexadj,q_femonly
MDGA2,GWAS Neural,2.582,1.069,1.272,6.912083172619154e-09,0.69,6.45776237102189e-10,7.085248060255817e-09,0.6696,3.95668354285789e-07,0.688,3.447218010315005e-07,1.1059333076190646e-07,1.0332419793635025e-08,1.1336396896409307e-07,6.330693668572624e-06,5.515548816504008e-06
DRD2,GWAS Neural,0.721,0.271,1.413,3.65738202065137e-06,0.384,3.2732144377586475e-07,2.0581323727093932e-07,0.3583,5.935096051252512e-05,0.403,4.486958744014989e-06,2.925905616521096e-05,2.618571550206918e-06,1.6465058981675146e-06,0.00047480768410020096,3.589566995211991e-05
CAMKV,GWAS Neural,0.656,0.288,1.188,0.000594553966909324,0.272,0.0003070775503328569,0.0025937085882761154,0.2069,0.02103143677319583,0.259,0.006766234218007169,0.0031709544901830614,0.0016377469351085703,0.00829986748248357,0.11216766279037776,0.032178262642503744
CELF4,GWAS Neural,1.341,0.848,0.66,0.011431086546978053,0.308,0.00392386562793558,0.004299811392922889,0.2573,0.043707162678894115,0.341,0.008044565660625936,0.04572434618791221,0.012556370009393854,0.00982814032668089,0.16720568900234237,0.032178262642503744
NCAM1,GWAS Neural,4.375,3.234,0.436,0.027688397333191075,0.318,0.007743118444601121,0.004264890500348542,0.2393,0.09321939293038738,0.271,0.05694048642581626,0.08704000029487734,0.020648315852269655,0.00982814032668089,0.18643878586077475,0.11388097285163253
DCC,GWAS Neural,2.747,1.905,0.528,0.032640000110579,0.373,0.00985036522756753,0.008231183398669831,0.3225,0.06270213337587839,0.411,0.02404277696175206,0.08704000029487734,0.022515120520154357,0.016462366797339662,0.16720568900234237,0.05495491876971899
GPR52,GWAS Neural,2.723,3.792,-0.478,0.04313431740788819,-0.163,0.2981130983682891,0.553101560255907,-0.0106,0.9545973722632903,0.064,0.7663037097371017,0.09859272550374443,0.3669084287609712,0.5899749976063008,0.9545973722632903,0.8173906237195752
HTT,GWAS Neural,20.599,25.169,-0.289,0.060002080518228,-0.406,0.0018663023709521453,0.0011479220893444112,-0.2739,0.07750107877547417,-0.374,0.015744251231699157,0.120004161036456,0.007465209483808581,0.004591688357377645,0.17714532291536952,0.041984669951197755
SRD5A2,GWAS Neural,0.187,0.139,0.429,0.14128657234993963,0.058,0.09950340266578084,0.057597298861990436,0.079,0.06063926166301524,0.104,0.014883846050513043,0.2511761286221149,0.14473222205931757,0.0921556781791847,0.16720568900234237,0.041984669951197755
KYNU,GWAS Neural,3.401,3.987,-0.229,0.30592538346200454,-0.215,0.13481880514479413,0.10385995138665416,-0.1275,0.4581342876058445,-0.149,0.40769788090564707,0.48948061353920724,0.17975840685972552,0.13847993518220555,0.5638575847456548,0.5435971745408628
NPC1,GWAS Neural,13.012,14.495,-0.156,0.37506561623052637,-0.255,0.06728135699312028,0.046502423439103685,-0.2009,0.2299634319731316,-0.242,0.15057386706747672,0.545549987244402,0.10765017118899245,0.08267097500285099,0.33449226468819143,0.2676868747866253
HDC,Mast Cell,5.274,7.991,-0.599,0.49939901896192695,-0.358,0.057889254188789756,0.06472120235025128,-0.2116,0.3461156019548257,-0.144,0.5947762543439377,0.6658653586159026,0.10291422966895956,0.09413993069127459,0.46148746927310097,0.7320323130386925
FCER1A,Mast Cell,3.899,4.448,-0.19,0.6078853323162403,0.07,0.6856820050200462,0.4694044394602024,0.2638,0.200815828438654,0.203,0.34122205156876695,0.7481665628507573,0.7836365771657671,0.5777285408740952,0.32130532550184643,0.4963229841000247
PPP2R2B,GWAS Neural,2.445,2.587,-0.081,0.7726491602138977,0.027,0.8251753945703539,0.508649729957527,-0.0112,0.9391679491951441,-0.052,0.750969937358079,0.883027611673026,0.8251753945703539,0.5813139770943165,0.9545973722632903,0.8173906237195752
MS4A2,Mast Cell,0.719,0.788,-0.133,0.868385032034292,0.199,0.03790755381340003,0.0005351942376880603,0.1476,0.1971919199191844,0.188,0.20295394392659083,0.9262773675032447,0.07581510762680006,0.002854369267669655,0.32130532550184643,0.32472631028254534
CPA3,Mast Cell,1.583,1.587,-0.003,0.9916470679762308,0.032,0.7778536728984011,0.7546471250713493,-0.0437,0.7506306516918112,0.004,0.9793099852793894,0.9916470679762308,0.8251753945703539,0.7546471250713493,0.8578636019334985,0.9793099852793894
