gene_id,log2FC,p_value,p_adj,gene_symbol
8083260,-0.7862678885572132,1.039713737658613e-07,0.0034619348322818,CPA3
7911199,-0.430255974129353,4.568960875908478e-07,0.0076066345142562,C1orf150
7940226,-0.5163265711442788,1.725750838113431e-06,0.0191541085522209,MS4A2
7906443,-0.5012488676616922,2.9492516866426707e-06,0.0245503083525352,FCER1A
8131666,-0.3282599343283587,3.9789325896575285e-06,0.0264973036875653,ITGB8
8090469,-0.4515504457711445,1.15139345300911e-05,0.0479224347560554,GATA2
7940669,-0.148509207960199,1.0055755735450817e-05,0.0479224347560554,C11orf83
7988672,-0.5283511283582101,1.0432518201860274e-05,0.0479224347560554,HDC
8122807,-0.1997552497512433,3.6782284384599685e-05,0.0981988198343131,AKAP12
8122071,-0.2555441791044774,4.128850880500898e-05,0.0981988198343131,ENPP3
7904361,0.3236991223880601,3.1345516146652144e-05,0.0981988198343131,FAM46C
7895148,-0.4023860756218891,4.079032162286392e-05,0.0981988198343131,
8099982,0.223946019900497,3.2862863435237965e-05,0.0981988198343131,APBB2
8059770,-0.2050497233830848,3.588224714519601e-05,0.0981988198343131,TIGD1
8143387,0.2276629054726378,5.373577679566705e-05,0.1192826773310217,MKRN1
7901376,0.2373169452736316,5.95433147585613e-05,0.1239133594697384,RNF11
7976515,0.2876333253731342,0.0001158048911764,0.2268209095001245,GLRX5
8058350,-0.1047205472636809,0.0001310527079815,0.2424256676478142,ICA1L
7999478,-0.0870061412935321,0.0001493493430026,0.2523252448619097,TXNDC11
8029671,0.1993275363184077,0.0001515603476961,0.2523252448619097,KLC3
8005659,0.1236901353233843,0.000171781467891,0.2668383516794845,LOC100131943
8160756,0.1910063283582115,0.0002023297617853,0.2668383516794845,DCAF12
7933228,0.2126529950248787,0.0002083610278303,0.2668383516794845,MARCH8
8176323,-0.2871774567164156,0.0001976773282036,0.2668383516794845,IL3RA
8130394,0.1377036079601996,0.000185566185261,0.2668383516794845,RGS17
8165752,-0.2871774567164156,0.0001976773282036,0.2668383516794845,IL3RA
8169709,0.3682810686567173,0.0004041809905877,0.2830057335223774,GLRX5
8020349,-0.4231611422885573,0.0003995658430071,0.2830057335223774,
7930398,0.2279345432835793,0.0003295323225803,0.2830057335223774,MXI1
7893526,-0.5610324796019892,0.0003202161198398,0.2830057335223774,
7917199,-0.1246889412935328,0.0003677805896469,0.2830057335223774,TTLL7
8180323,0.2287403164179107,0.0003752950872025,0.2830057335223774,
7911218,0.3381465333333366,0.0004037025375521,0.2830057335223774,TRIM58
8047709,0.124634240796019,0.0002799443727591,0.2830057335223774,PARD3B
7900555,-0.1503065751243761,0.0004026792392596,0.2830057335223774,CCDC30
8136938,-0.3837136358208957,0.0003968263176238,0.2830057335223774,
8051993,-0.1851821751243774,0.0003333372148651,0.2830057335223774,PIGF
8143599,-0.3837136358208957,0.0003968263176238,0.2830057335223774,
