chembl_id,pref_name,smiles,molecular_weight,affinity_type,d2_affinity_nm,d3_affinity_nm,selectivity_ratio,scaffold
CHEMBL5273430,,CN1CCN(C(=O)CCCN2CCN(c3cccc(Cl)c3Cl)CC2)C(C(=O)NCc2ccccc2)C1,532.52,IC50,1.096,15848.930,14460.70,Phenylpiperazine derivative
CHEMBL5278601,,O=C(Cn1c(CCCN2CCN(c3cccc(Cl)c3Cl)CC2)nc2cc(Br)c(Br)cc21)NCc1ccccc1,694.30,IC50,2.188,23442.290,10714.03,Other Aliphatic/Heterocyclic
CHEMBL5268231,,CN(CC(=O)NC1CCCCC1)C(=O)CCCN1CCN(c2cccc(Cl)c2Cl)CC1,469.46,IC50,2.884,12302.690,4265.84,Phenylpiperazine derivative
CHEMBL5266508,,CC(C)(C)NC(=O)C1C(=O)NCCN1C(=O)CCCN1CCN(c2cccc(Cl)c2Cl)CC1,498.46,IC50,3.802,6025.600,1584.85,Phenylpiperazine derivative
CHEMBL5270832,,CN1CCN(C(=O)CCCN2CCN(c3cccc(Cl)c3Cl)CC2)C(C(=O)NC2CCCCC2)C1,524.54,IC50,1.660,1479.110,891.03,Phenylpiperazine derivative
CHEMBL5278239,,CN(CC(=O)NCc1ccccc1)C(=O)CCCN1CCN(c2cccc(Cl)c2Cl)CC1,477.44,IC50,4.571,2884.030,630.94,Phenylpiperazine derivative
CHEMBL5281830,,Cn1c(CCCN2CCN(c3cccc(Cl)c3Cl)CC2)nc(-c2ccccc2)c1C(=O)NCc1ccccc1,562.55,IC50,5.012,2344.230,467.72,Other Aliphatic/Heterocyclic
CHEMBL5283891,,O=C1NCCN(C(=O)CCCN2CCN(c3cccc(Cl)c3Cl)CC2)C1C(=O)NCc1ccccc1,532.47,IC50,1.148,501.190,436.58,Other Aliphatic/Heterocyclic
CHEMBL1223856,,Clc1cccc(N2CCN(CCCCNc3cc(-c4ccccc4)ccn3)CC2)c1Cl,455.43,Ki,0.550,184.000,334.55,Other Aliphatic/Heterocyclic
CHEMBL1223857,,FC(F)(F)c1cccc(N2CCN(CCCCNc3cc(-c4ccccc4)ccn3)CC2)c1,454.54,Ki,0.760,194.000,255.26,Other Aliphatic/Heterocyclic
