Tejido,DRD2,MDGA2,SIK1,ACTB,GAPDH
Whole Blood,0.0,0.0,0.0754514,4803.94,1773.91
Brain - Caudate (basal ganglia),40.6964,0.564859,0.245288,1181.18,1073.59
Brain - Putamen (basal ganglia),45.7365,0.430045,0.165131,970.669,908.523
Brain - Nucleus accumbens (basal ganglia),51.9149,0.653321,0.178288,1227.76,1141.44
Brain - Hypothalamus,6.49551,1.05859,0.309509,1026.04,1198.77
Brain - Substantia nigra,8.65936,0.521214,0.215275,1020.03,1084.1
Brain - Frontal Cortex (BA9),1.0411,1.1396,0.280223,1524.55,1651.41
Brain - Spinal cord (cervical c-1),0.650998,1.55071,0.28591,2143.56,1402.76
Nerve - Tibial,4.03365,0.0110735,2.97298,3385.87,1125.88
Muscle - Skeletal,0.310595,0.0,0.972744,395.993,5597.4
Spleen,0.0312403,0.0110966,0.69809,3837.74,716.393
Liver,0.0121022,0.00480872,0.745953,760.447,512.029
