gene,patient_id,post_value,pre_value,log2FC,pvalue,padjust,significant,n_transcripts,n_nonzero_transcripts
DRD2,1,0.0,0.0,0.0,1.0,1.0,False,12,0
MDGA2,1,0.0113709,0.0,inf,1.0,1.0,False,11,4
SIK1,1,1.89209,3.74077,-0.983355,0.0269,0.991952,False,2,4
DRD2,2,0.0,0.0,0.0,1.0,1.0,False,12,0
MDGA2,2,0.0,0.0,0.0,1.0,1.0,False,11,0
SIK1,2,0.421374,0.954701,-1.17995,0.02385,0.985138,False,2,3
DRD2,3,0.086204,0.0,inf,1.0,1.0,False,12,2
MDGA2,3,0.0,0.0,0.0,1.0,1.0,False,11,0
SIK1,3,0.182239,0.425767,-1.22424,0.04525,0.997547,False,2,2
DRD2,4,0.0,0.0,0.0,1.0,1.0,False,12,0
MDGA2,4,0.0,0.0,0.0,1.0,1.0,False,11,0
SIK1,4,0.668091,2.07081,-1.63208,0.00625,0.986345,False,2,3
DRD2,5,0.0,0.0426981,-inf,1.0,1.0,False,12,1
MDGA2,5,0.00411038,0.0,inf,1.0,1.0,False,11,3
SIK1,5,0.13545,1.29446,-3.25652,0.003,0.995195,True,2,3
DRD2,6,0.0,0.0,0.0,1.0,1.0,False,12,0
MDGA2,6,0.0,0.0,0.0,1.0,1.0,False,11,0
SIK1,6,0.48983,1.57852,-1.68822,0.004,0.990906,True,2,4
